time,point
1577443885.0960631, [  529.5892094    -121.14072859  -388.15500927] 
1577443885.1267278, [1398.36286517  -194.31880188    -65.57755748] 
1577443885.1563988, [1254.73817208    -95.58191993      95.51615761] 
1577443885.187803, [1168.13945696    -51.20641402    157.70389604] 
1577443885.2156475, [1050.43519308        3.04507304    193.6094728  ] 
1577443885.246426, [977.00315984    39.97038331  213.79720656] 
1577443885.3077798, [838.64990464    95.63732105  203.4549864  ] 
1577443885.3390095, [693.90216955  136.06288879  163.8547721  ] 
1577443885.3685112, [594.11801439  163.77686823  128.73275481] 
1577443885.3996027, [475.90768951  196.81350019    77.88755048] 
1577443885.4309947, [383.90514255  227.54737595    29.10768289] 
1577443885.811692, [-156.34030626    332.57054577  -211.44257013] 
1577443886.1252644, [-252.36116723    248.41752217  -172.619241    ] 
1577443897.5742173, [1737.49173761    332.21228974    237.75790607] 
1577443897.7036815, [1661.9999477      345.82902973    262.54449818] 
1577443897.7364256, [1671.86542786    319.65135986    300.53896422] 
1577443897.8007812, [1639.00481555    281.61324107    251.3221298  ] 
1577443897.8629782, [1648.05603915    225.10968849    313.65660905] 
1577443897.8948884, [1650.95550695    207.08354035    320.20426574] 
1577443897.9271867, [1632.61840858    206.47226076    254.90696358] 
1577443897.9558625, [1586.33269364    333.00470465    344.9500277  ] 
1577443897.987002, [1633.96012562    188.78861383    257.66749249] 
1577443898.0178542, [1578.62102393    318.95358839    348.16869415] 
1577443898.078221, [1640.20851029    175.65761817    275.45970393] 
1577443898.686975, [1760.74144237    -12.64146122    141.13823158] 
1577443899.0338776, [1820.88611582  -197.17672018      29.54054154] 
1577443899.3943675, [1924.74756703  -313.22461282      80.87524656] 
1577443899.808426, [1903.04461933  -215.93013326    138.10641064] 
1577443899.9068444, [1905.90217827  -205.7018974      106.77317749] 
1577443899.998416, [1956.23287054  -488.50628482    364.27881485] 
1577443900.0615916, [1964.26661503  -510.82168903    336.17031764] 
1577443900.0950024, [1973.46080612  -591.6838675      315.08315115] 
1577443900.1595945, [1964.36242002  -557.50076681    340.20367687] 
1577443900.1939552, [1918.72449775  -542.15032353    496.61783186] 
1577443900.3220046, [1284.64414546    360.62515459  -112.47910659] 
1577443900.3537838, [1261.25700005    343.80710634    -88.37246036] 
1577443900.3858023, [1245.88353892    354.74357397    -53.4887188  ] 
1577443900.417841, [1179.99348031    338.67382013    -82.97328497] 
1577443900.770965, [1852.95136221  -529.79250606      12.10035478] 
1577443900.8036366, [1867.73955236  -544.02405082      88.53485009] 
1577443900.8358836, [1883.60838925  -617.75699577      33.93495715] 
1577443900.8681362, [1839.72631718  -537.49414354      13.82510803] 
1577443900.9300432, [  1.81734452e+03  -5.26164513e+02    3.95135581e-01] 
1577443900.9615943, [1881.1566193    -593.66782563      73.86283012] 
1577443901.0849557, [1846.45176862  -546.49341778        9.008129    ] 
1577443901.209562, [1872.4172344    -566.50220512      16.58830896] 
1577443901.2705016, [1904.82973693  -570.5398516        40.34359889] 
1577443901.3336034, [1860.27308851  -540.78922704    559.27880903] 
1577443901.4255443, [1910.74172862  -845.3759936      480.54598819] 
1577443901.5830631, [1950.35839711  -710.2302198      392.81916792] 
1577443901.679796, [1925.43297949  -503.3758637      468.14316732] 
1577443901.7422419, [1942.37411898  -684.88885871    470.38805897] 
1577443901.7739847, [1943.93413636  -759.55303249    453.65987906] 
1577443901.8064709, [1928.58365622  -491.57010446    459.99083836] 
1577443901.9339387, [1938.86887083  -711.12778844    477.62751035] 
1577443901.9664853, [1933.50914823  -645.12560312    499.17888388] 
1577443901.9975266, [1947.94087503  -618.48308007    416.77111762] 
1577443902.123406, [1928.34332929  -439.26677433      45.57434272] 
1577443902.1547797, [1937.65761858  -636.45250642    441.91043223] 
1577443902.2175715, [1920.8302846    -731.75222567    509.88323316] 
1577443902.3769155, [1920.10376011  -748.85757584    505.41377768] 
1577443902.5451539, [1928.15488623  -782.93397086    479.9489808  ] 
1577443902.642666, [1928.83775065  -754.43251532    488.31617805] 
1577443903.3049982, [1942.24726009  -835.35663102    462.06465408] 
1577443904.033012, [1945.16452147  -829.13102668    450.24202592] 
1577443908.0191355, [1935.34809573  -835.94014321    482.72193891] 
1577443909.4635334, [1939.09544907  -537.60979337    385.41302609] 
1577443910.352789, [1919.60216612  -736.49590405    492.78577863] 
1577443910.7158809, [1934.04900793  -647.29269925    433.53702038] 
1577443910.7887855, [1937.29497424  -590.98606659    408.15472672] 
1577443910.9345589, [1915.82647271  -670.47133452    511.58283784] 
1577443910.9680786, [1905.01338568  -438.91686418    487.85960889] 
1577443911.0088017, [1916.59572992  -609.5948818      511.90521281] 
1577443911.04484, [1868.5691391    -413.24864816    601.92327346] 
1577443911.082665, [1915.50480987  -598.09207076    515.45868342] 
1577443911.3196528, [1906.35386691  -564.63874094    553.66209333] 
1577443911.351914, [1934.04052308  -623.40583221    421.70817763] 
1577443911.3837934, [1912.41744148  -707.37659875    501.84166328] 
1577443912.8205197, [1971.65328919  -767.52043279    347.5086717  ] 
1577443913.1841962, [1990.7226811    -790.40891834    313.20285846] 
1577443913.5099323, [2022.92388816  -670.03292344    189.33233079] 
1577443914.1973405, [2000.74438908  -668.05011649    290.43600926] 
1577443914.356526, [1993.17084514  -721.02195126    314.5549396  ] 
1577443914.3930604, [1988.51456258  -767.7681817      326.85124177] 
1577443914.99106, [1994.2528684    -744.65063854    320.18661141] 
1577443915.3211262, [2044.63346602  -680.8798542      143.43133197] 
1577443915.6744351, [2085.83746114  -802.39327115      74.96153756] 
1577443916.2988915, [1323.15667081    389.40581937    -61.88208027] 
1577443916.3362365, [1317.40273456    394.90754564    -99.63978184] 
1577443916.3739822, [1295.20056297    303.04932994    -33.27461538] 
1577443916.4087996, [1257.28275804    253.53684488    -25.68099058] 
1577443916.4450104, [1280.89710058    225.50024251    -78.46148805] 
1577443916.4815547, [1297.81982761    238.10814071  -121.38694459] 
1577443916.5181925, [1297.19707755    241.61679692  -131.25752202] 
1577443916.5577416, [1293.16313311    155.34916699    -88.07665723] 
1577443917.1582868, [1290.21324651  -626.80342662    508.49650053] 
1577443917.2210107, [1366.54097387  -823.6497025      799.13568743] 
1577443917.2859101, [1347.08869948  -688.08651766    481.4326656  ] 
1577443917.317874, [1375.32253886  -770.89144681    673.56909766] 
1577443917.3495932, [1450.66912367  -923.07493793    480.13535509] 
1577443917.3813965, [1464.33606027  -923.73234071    471.52799589] 
1577443917.4130917, [1499.77767151  -960.8299868      510.90236365] 
1577443917.4440515, [1501.87353075  -980.19786278    490.82625953] 
1577443917.4775805, [1490.32471398  -941.0800566      535.11001179] 
1577443917.5120263, [1476.18246183  -927.69609661    524.54792985] 
1577443917.5450082, [1469.68286823  -944.39700833    521.45570407] 
1577443917.885537, [2045.00552256  -805.40036899    189.26521898] 
1577443918.4699028, [1516.2867334    -924.5159792    -109.04397438] 
1577443919.043707, [1921.08866616  -399.11624908      65.06941123] 
1577443919.37719, [1884.73342468  -197.16209314    244.71235806] 
1577443919.7128417, [1768.49203391  -151.74123742    280.62104211] 
1577443920.0649884, [1775.24376378  -160.37562624    269.26262099] 
1577443920.3995442, [1767.05543923  -142.54572064    274.07649272] 
1577443920.9547575, [1749.66804464  -113.44290674    246.86873408] 
1577443922.9685304, [1536.00951734  -789.77901415  -108.17517935] 
1577443923.001283, [1515.49731252  -808.12981734  -112.75806594] 
1577443923.0340483, [1514.33604203  -821.60852965    -77.75142629] 
1577443923.1942885, [1460.6318414    -889.76955067    -76.46218893] 
1577443923.2255056, [1453.35182718  -905.15111878    -50.17633959] 
1577443923.3188758, [1881.0062993    -310.19140839      40.13636848] 
1577443923.3499732, [1923.6675764    -417.06868076    432.88097433] 
1577443923.4776094, [1428.06974123  -947.82082711    -28.12599837] 
1577443923.5089388, [2030.41838986  -363.77035601    100.28310854] 
1577443923.5403967, [1403.17647457  -908.39939535    -21.13870285] 
1577443923.5719502, [1373.75739014  -858.73255895    -34.81165436] 
1577443923.696312, [1395.89594494  -832.60101226    -16.11617743] 
1577443923.7577517, [1394.14576033  -810.92584204      14.05794669] 
1577443923.788695, [1372.3256744    -779.94777199      11.75259311] 
1577443924.206597, [1897.8920999    -326.93255049      54.71612807] 
1577443924.3677127, [1884.42515466  -316.32747584      40.94173937] 
1577443924.4319925, [1894.79398003  -338.00853887      49.78557285] 
1577443925.1525383, [1436.51497753  -794.20406859    -36.55902925] 
1577443925.343147, [1356.54721091  -786.33040135  -161.416982    ] 
1577443925.5319915, [1873.86616207  -347.63541637      45.54385012] 
1577443925.562686, [1757.78952119  -122.53777842    189.95076818] 
1577443925.5947866, [1792.71036836  -207.39821811      98.40136167] 
1577443925.6262667, [1794.30422168  -250.41716558      86.71124368] 
1577443925.6577258, [1792.62397557  -239.77321529    106.44618395] 
1577443925.6894526, [1795.81075486  -270.64390231      82.81660921] 
1577443925.7506576, [1787.05804339  -234.15350737    118.03515494] 
1577443925.7808802, [1782.48681434  -229.37027599    143.05128127] 
1577443925.8130767, [1867.81086736  -519.18255785    214.7617263  ] 
1577443925.844191, [1773.89891901  -195.42297085    171.61466361] 
1577443926.1702242, [1783.74296246  -207.40343354    111.8286621  ] 
1577443926.4913273, [1834.79454069  -252.15357837      57.44630947] 
1577443927.3081422, [1758.66488571  -297.58886393      49.20331614] 
1577443927.6900861, [1921.88825687  -340.31112731    153.98711132] 
1577443928.0214446, [1894.79398003  -338.00853887      49.78557285] 
1577443928.3579426, [1935.24562139  -385.95227059    119.80448635] 
1577443928.693133, [1878.19198848  -367.8284929        88.58584505] 
1577443929.0248885, [1869.48427636  -361.88866798      99.14200258] 
1577443929.3770194, [1910.7212173    -341.56247314    192.89163782] 
1577443929.7303853, [1886.26671447  -363.23107319      98.10889893] 
1577443930.339407, [1878.79694496  -395.58890158    116.82670732] 
1577443930.6786785, [-541.09047695  -444.61645197  -428.8456054  ] 
1577443931.0084014, [1861.39216873  -354.72509688      86.97524836] 
1577443931.3408926, [1851.1547355    -331.21960669      45.42420442] 
1577443931.6815462, [1883.80509333  -603.63704297    609.67990104] 
1577443932.2218266, [1909.19283547  -343.15127251    120.01978992] 
1577443932.3227205, [1855.94914384  -323.39409476      54.02816613] 
1577443932.3901184, [1851.02509458  -316.18575522      36.35278328] 
1577443932.4901776, [1851.72534064  -299.44529049      47.36368086] 
1577443932.522476, [1852.14851128  -276.8888753        58.60202101] 
1577443932.5867343, [1905.80025853  -336.65031962    112.67297694] 
1577443932.6179433, [1846.45293818  -256.23531591      61.11957086] 
1577443932.8130746, [1860.51769433  -289.86839686      70.54133266] 
1577443932.8457835, [1872.66474413  -568.51076009    621.02900027] 
1577443932.8787315, [1896.56199544  -280.40477906    158.67187037] 
1577443933.0425222, [1854.44127138  -284.01289339      78.68744703] 
1577443933.075403, [1495.78428647  -803.68824204      -7.40926725] 
1577443933.1091943, [1898.1473639    -299.53685949    135.15290962] 
1577443933.1419318, [1848.73814077  -294.63967488      69.62549287] 
1577443933.2421424, [1891.41342761  -266.6507182      128.1410459  ] 
1577443933.339866, [1848.66820228  -283.60845495      80.06467673] 
1577443933.3710775, [1844.02878594  -250.93572499      73.74135531] 
1577443933.5601494, [1839.59516726  -193.89326091      98.39442161] 
1577443933.6230311, [1828.74079026  -152.45705225    100.33093585] 
1577443933.691291, [1824.97626026  -148.62827904      89.42754496] 
1577443933.7546835, [1822.37124952  -148.17907216      85.29614603] 
1577443933.8167465, [1924.23546574  -402.01261282    318.91903714] 
1577443933.9167516, [-808.90254617      42.61369405  -695.25150321] 
1577443933.97864, [1797.43848134  -226.9904459      233.59525963] 
1577443934.040963, [1758.71480123  -203.52298622    235.0804313  ] 
1577443934.0717964, [1722.67994955  -237.01350142    316.45878158] 
1577443934.1354115, [1809.60891388      39.9356886      114.37812784] 
1577443934.167641, [1745.78328591  -173.63435703    238.97210356] 
1577443934.2342207, [1750.80396403  -155.4962878      218.65287528] 
1577443934.2656522, [1737.69966313  -190.35765298    238.63419209] 
1577443934.2982438, [1743.02369511  -177.67064877    211.54607916] 
1577443934.3300388, [1750.0631484    -163.13683317    148.99644144] 
1577443934.6735065, [1749.93670145  -277.5918622      119.65905137] 
1577443935.007537, [1744.38639969  -300.59142372    175.6703543  ] 
1577443935.348827, [1756.49692482  -320.06078993    142.5112209  ] 
1577443935.9297981, [1579.14412087    110.17483738    343.42376334] 
1577443936.262031, [1482.77026998    337.85948844    412.43167157] 
1577443938.2579863, [1300.11500326    376.77116028    507.90599972] 
1577443938.2898333, [1304.98958616    366.53686386    476.12098872] 
1577443938.353446, [1316.6564685      338.56825928    491.62309287] 
1577443938.3854914, [1320.57691785    320.07052004    505.05646281] 
1577443938.419193, [1327.44090701    308.16327056    500.12576249] 
1577443938.481445, [1348.51035318    312.58598682    441.71048591] 
1577443938.549501, [1361.18217471    276.75231729    440.68995655] 
1577443938.5823905, [1370.92825002    258.57991048    439.66321259] 
1577443938.6145422, [1362.50568624    198.80417461    482.83475548] 
1577443938.647524, [1438.35558724    288.36433993    532.83448423] 
1577443938.6796284, [1384.21485217    151.94450058    457.94774184] 
1577443939.0265064, [1616.10439328      -9.48537214    506.88309177] 
1577443939.3590355, [1769.40734911  -117.51959661    134.97849331] 
1577443939.7004592, [1846.53280624  -982.28408322    274.14511401] 
1577443940.0383847, [2040.54253299  -201.64308313      92.87978382] 
1577443940.6786225, [1826.90036669  -959.88957298    318.09095481] 
1577443941.1236053, [2060.33577084  -169.11728922    104.57271892] 
1577443941.2534657, [2047.35458417  -432.65274916    164.57260071] 
1577443941.2850564, [2051.79246292  -201.73329738    129.48769825] 
1577443941.3169892, [1751.80234126  -976.81229478    265.76990071] 
1577443941.3496335, [  1781.41311013  -1009.78293163      602.37098366] 
1577443941.3827226, [1754.31385087  -949.87691889    402.78333922] 
1577443941.4161415, [1722.70983585  -874.9082744      458.76060696] 
1577443941.510933, [1753.43830647  -212.90397281      -3.7311524  ] 
1577443941.5434675, [1357.68392517  -519.11124625      40.92329273] 
1577443941.5747142, [1918.20764609      24.59970461      70.99958763] 
1577443941.6078231, [2015.09381344    -76.40810826    278.5173174  ] 
1577443941.923282, [1753.26126708    271.44186531    262.68191711] 
